Name,Duplicate,Founding_Year,Location,Description,Portfolio,Investments,Lead_Investments,Article_Mentions,Exits,Exits_IPO,IRR,TVPI,DPI,RVPI,Contributed,Distributed,Distributed_NAV,Fund_NAV,Gain_Since_Inception,Employees,Founders,Industries,Last_Updated,Funding_Rounds,Fund_Status,Fund_Name,Last_Funding,Total_Funding,Website,Crunchbase,holistic
WestWave Ventures,,2019,"Los Angeles, California, United States",WestWave Ventures is a Los Angeles based company focused on fostering community and innovation in Southern California.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Communities, Consulting, Event Management, Events, Internet, Venture Capital",0,0,,,,0,https://westwave.ventures,https://www.crunchbase.com/organization/westwave-ventures,201.9
Quiet Capital,Duplicate,2017,"Houston, Texas, United States",Quiet Capital is an investment firm that seeks to make venture capital investments.,14,14,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,,0,0,,,,0,https://www.quiet.com/,https://www.crunchbase.com/organization/quiet-capital,205.10000000000005
Teamworthy Ventures,,0,"New York, NY",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Teamworthy Ventures I,,38000000,,,3799999.9
What If Ventures,,2019,"Frisco, Texas, United States",Mental health and addiction focused venture capital fund.,2,2,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Stephen Hays,"Health Care, Personal Health, Wellness",0,0,,,,0,http://whatif.vc,https://www.crunchbase.com/organization/what-if-ventures,203.39999999999998
UpHonest Capital,,2016,"San Francisco, California, United States",UpHonest Capital is an international venture capital firm that specializes in providing investment capital to early-stage startups.,86,90,0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,Wei Guo,"Finance, Financial Services, Venture Capital",0,1,,,"Jul 31, 2017",30000000,https://www.uphonestcapital.com/,https://www.crunchbase.com/organization/uphonest-capital,3000219.9
Reef Capital Ventures,,2013,"Kahului, Hawaii, United States",Reef Capital Ventures is a Hawaii-based pre-seed and seed stage venture fund,3,3,1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,,,0,https://reef.vc/,https://www.crunchbase.com/organization/mbloom,202.40000000000003
Watertower Ventures,,2017,"Beverly Hills, California, United States",Watertower Ventures is an early-stage venture capital fund founded by entrepreneurs who invest in entrepreneurs. ,17,19,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Derek Norton, Jeremy Milken",Venture Capital,0,0,,,,0,http://www.watertowerventures.com/,https://www.crunchbase.com/organization/watertower-ventures,205.4
Structure Capital,,2013,"San Francisco, California, United States","Structure Capital help passionate teams build great companies by investing seed-stage capital, time, experience and relationships.",70,84,9,72,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Cameron Yuill, Daniel Lennon, Jacob Shea, Jillian Manus, Mike Walsh",Venture Capital,0,1,,,"Oct 7, 2014",0,http://www.structure.vc,https://www.crunchbase.com/organization/structure-capital,226.00000000000003
Ranch Ventures,,2017,"San Francisco, CA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Ranch Ventures Fund I,"Dec 31, 2017",1000000,,,100201.8
Rubicon Venture Capital,Duplicate,2013,"San Francisco, California, United States","Founded in 2013, Rubicon Venture Capital is a bi coastal SF/NYC early-stage VC investing in software/tech and DTC companies.",34,42,2,43,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Andrew Romans, Joshua B. Siegel",Venture Capital,0,0,,,,0,http://www.rubicon.vc,https://www.crunchbase.com/organization/rubicon-venture-capital,213.8
Tamarisc Ventures,,2014,"Cambridge, Massachusetts, United States","We invest in early stage real estate technology companies that improve how we live, work, and travel within the built environment.",19,28,11,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"David Bates, Ed Walters, Mark Ferraro, Philip Bates","Hospitality, Information Technology, Real Estate, Venture Capital",0,0,,,,0,http://www.tamarisc.vc,https://www.crunchbase.com/organization/tamarisc,207.90000000000003
Security Leadership Capital,,2019,"San Jose, California, United States",Seed stage venture capital focused on cybersecurity,3,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sathvik Krishnamurthy,Cyber Security,0,0,,,,0,https://www.slc.vc,https://www.crunchbase.com/organization/security-leadership-capital,202.80000000000004
Stage Venture Partners,,0,"Los Angeles, CA",,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Stage Venture Partners II,,14600000,,,1460000.3
Quest Venture Partners,Duplicate,2017,"Palo Alto, CA",,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Quest Venture Partners Fund III,"Dec 31, 2017",0,,,202.60000000000002
Sparkland Capital,,2014,"San Jose, California, United States",Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies.,24,27,1,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,Venture Capital,0,0,,,,0,http://www.sparklandcap.com/,https://www.crunchbase.com/organization/sparkland-cap,207.1
VTC Innovation Fund,,2019,"Roanoke, VA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,VTC Seed Fund,"Jan 1, 2019",0,,,202.0
Radicle Impact,,2013,"San Francisco, CA",,0,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Eagle Cliff Reinvestment Fund,"Jul 10, 2013",15080000,,,1508202.6
Quiet Capital,,0,"Houston, TX",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Quiet Venture I,,0,,,-0.1
Social Starts,,2012,"San Francisco, California, United States",Social Starts is a $60M+ venture partnership that invests at the moment-of-inception and Series A.,277,344,4,132,45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,,"Content, E-Commerce, Internet of Things, Venture Capital",0,0,,,,0,http://socialstarts.com,https://www.crunchbase.com/organization/social-starts,281.4
Troy Capital Partners,,2015,"Los Angeles, California, United States",Troy Capital Partners is an early stage venture capital firm investing in companies across sectors.,12,15,3,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Brian Sullivan, Josh Berman, Samit Varma","Business Development, Financial Services, Venture Capital",0,0,,,,0,http://www.troycapitalpartners.com,https://www.crunchbase.com/organization/troy-capital-partners,205.1
SineWave Ventures,,2014,"Washington, District of Columbia, United States",Our fund provides early stage investment capital to commercial companies whose technologies can be used by our commercial and public sector.,13,18,4,6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,"Analytics, Cyber Security, Education, Enterprise Software, Financial Services, Health Care, Information Technology, Infrastructure",0,0,,,,0,http://www.sinewave.vc,https://www.crunchbase.com/organization/sinewave-ventures,205.70000000000002
The Hive,,2012,"Palo Alto, California, United States",The Hive is an online startup data forum that provides information to help with funding and networking.,14,17,4,8,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51-100,"Sumant Mandal, T.M. Ravi","Big Data, Finance, FinTech, Incubators",0,2,,,"Aug 26, 2015",0,http://www.hivedata.com,https://www.crunchbase.com/organization/the-hive-palo-alto-california,205.80000000000004
Urban Us,,2016,"Brooklyn, NY",,0,5,0,0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2019,0,Closed,Urban.Us Fund II,"Dec 31, 2016",10000000,,,1000203.5
RevUp by Betaspring,,2015,"Providence, RI",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,RevUp Fund,"Dec 31, 2015",380000,,,38201.5
Reshape,,2015,"New York, New York, United States",Reshape is a next-generation investor in technology-enabled companies that need real estate to scale.,34,40,2,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,,"Angel Investment, Financial Services, Venture Capital",0,0,,,,0,http://www.reshape.co,https://www.crunchbase.com/organization/reshape-co,209.4
Stonehenge Growth Equity,,2013,"Tampa, Florida, United States",Stonehenge Growth Equity invests in growth stage businesses and introduces other financial partners.,13,17,3,6,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Brian Model,Venture Capital,0,0,,,,0,http://stonehengegrowthequity.com,https://www.crunchbase.com/organization/stonehenge-growth-equity,205.60000000000002
Visionary Venture Fund,Duplicate,2016,"Aliso Viejo, California, United States",A venture capital fund that invests in the future of ophthalmology.,11,13,11,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Ehsan Sadri,,0,0,,,,0,http://visionaryvc.com/,https://www.crunchbase.com/organization/visionary-venture-fund,205.3
Upside Partnership,Duplicate,2016,"San Francisco, CA",,0,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Upside Partnership II,"Apr 11, 2016",44000000,,,4400203.2
Ulu Ventures,,0,"Palo Alto, CA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Open,Ulu Ventures Fund III,,0,,,0.1
Salveo Capital,,2018,"Northbrook, IL",,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Salveo Fund I,"Sep 11, 2019",22250000,,,2225203.5
The Venture Reality Fund,,2016,"San Francisco, CA",,0,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,VR Fund,"Dec 31, 2016",50000000,,,5000204.0
VTF Capital,Duplicate,2012,"Santa Monica, California, United States",VTF Capital is a seed-stage venture fund that finances vertical commerce and physical retail technology companies.,129,179,10,120,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,Finance,0,0,,,,0,http://vtfcapital.com,https://www.crunchbase.com/organization/vegastechfund,247.70000000000002
Unreasonable Capital,,2016,"Boulder, CO",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Unreasonable Capital Fund I,"Dec 31, 2016",5000000,,,500201.6
Tip Of The Spear Ventures,,2012,"Las Vegas, Nevada, United States",Venture Capital/Business Advisory Firm,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,,,0,0,,,,0,http://tipofthespearventures.com,https://www.crunchbase.com/organization/tip-of-the-spear-ventures,201.20000000000002
TechU,,0,"Great Neck, NY",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Evergreen,TechU Angels Venture Partners,,1060000,,,106000.0
Winnebago Seed Fund,Duplicate,2017,"Neenah, Wisconsin, United States",The Winnebago Seed Fund is a newly-formed venture capital fund,5,6,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,,0,0,,,,0,http://www.winnebagoseedfund.com/,https://www.crunchbase.com/organization/winnebago-seed-fund,203.5
Rex Health Ventures,,2012,"Raleigh, North Carolina, United States",Rex Health Ventures is the corporate venture arm of UNC Healthcare and invests in cutting edge healthcare companies.,11,12,3,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,Health Care,0,0,,,,0,http://rexhealthventures.com/,https://www.crunchbase.com/organization/rex-health-ventures,205.4
T1D Fund,,2017,"Boston, MA",,0,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,JDRF T1D Fund,"Dec 31, 2016",60000000,,,6000203.4
ValueStream Ventures,,2013,"New York, New York, United States","ValueStream Ventures is a thesis-driven, early-stage venture firm based in NYC. We invest in B2B software, data/analytics, and fintech.",25,29,0,10,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Greg Neufeld,"B2B, Finance, FinTech, SaaS, Venture Capital",0,3,Closed,"ValueStream Development Lab Fund, 2017 Fund, 2020 Fund","Jan 29, 2020",44750000,http://valuestreamventures.com,https://www.crunchbase.com/organization/valuestream-labs,4475207.8
Urban Us,,0,"Brooklyn, NY",,0,5,0,0,0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2019,0,Closed,Urban.Us Fund I,,1300000,,,130002.9
Two Bridges Capital,,2012,"Yankton, South Dakota, United States","Two Bridges Capital, LLC is an investment fund that looks to invest in early stage high growth companies.",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Finance,0,0,,,,0,http://twobridgescap.com/,https://www.crunchbase.com/organization/two-bridges-capital,201.20000000000002
Unitus Labs,,0,"Orem, UT",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Unitus Impact Fund,,0,,,0.0
Sunrock Ventures,,0,"West Palm Beach, FL",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Sunrock Ventures Fund,,100000000,,,10000000.0
Tribal Ventures,Duplicate,2014,"Chicago, IL",,0,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Tribal Ventures II,"Aug 7, 2014",210000,,,21202.7
The Entrepreneurs' Fund,,2012,"San Mateo, California, United States","The Entrepreneurs' Fund IV (TEF4) is a Silicon Valley based, early-stage venture fund focused on cloud-based business-to-business software",27,40,7,2,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,"Advertising, Analytics, B2B",0,0,,,,0,http://www.tefunds.com/,https://www.crunchbase.com/organization/the-entrepreneurs-fund-iii,209.99999999999997
UT Horizon Fund,,0,"Austin, TX",,0,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Evergreen,UT Horizon Fund,,50000000,,,5000002.6
Tribe Capital,,0,"San Francisco, CA",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Open,Tribe Capital Fund I,,0,,,0.0
Right Side Capital Management,,2010,"San Francisco, California, United States",Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,792,843,21,21,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Dave Lambert, Kevin Dick","Finance, Financial Services, Venture Capital",0,0,,,,0,http://rightsidecapital.com/,https://www.crunchbase.com/organization/right-side-capital-management,378.6
Upside Partnership,,2014,"San Francisco, CA",,0,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Upside Partnership I,"Jul 10, 2014",30650000,,,3065203.7
Vista Ventures,,0,"Boulder, CO",,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Fully Invested,Vista Ventures Advantage,,0,,,0.5
Surge Ventures,,2015,"Houston, TX",,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Fully Invested,SURGE Accelerator 4,"Jan 1, 2015",1200000,,,120202.0
Trucks Venture Capital,,2015,"San Francisco, California, United States",Trucks Venture Capital funds the entrepreneurs building the future of transportation.,29,34,6,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,"Automotive, Autonomous Vehicles, Electric Vehicle, Smart Cities, Transportation",0,1,Closed,Trucks Venture Fund 1 & 2,,9880000,http://www.trucks.vc/,https://www.crunchbase.com/organization/trucks-venture-capital,988209.2
Waverley Capital,,2019,"Palo Alto, CA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Waverley Capital,"Dec 31, 2019",78930000,,,7893201.9
